algorithm,operation,size,reps,trim_pct,trim_wall_s_raw,std_wall_s_raw,trim_cpu_s_raw,std_cpu_s_raw,trim_wall_s_base,std_wall_s_base,trim_cpu_s_base,std_cpu_s_base,net_wall_s,std_net_wall_s,net_cpu_s,std_net_cpu_s,trim_mem_mb,std_mem_mb,failures_raw,failures_base
sphincsshake192fsimple,verify,10000000,100,15,0.418065678,0.000712621,0.399531257,0.000489586,0.225886088,0.000714012,0.207738686,0.000378488,0.192179590,0.001008782,0.191792571,0.000618828,39.679473371,0.020152931,0,0
sphincsshake192fsimple,all,256,100,15,0.469269965,0.000872526,0.451072129,0.000636616,0.054321921,0.000576312,0.037786443,0.000249536,0.414948044,0.001045675,0.413285686,0.000683775,9.575219200,0.097022699,0,0
sphincsshake192fsimple,all,10000,100,15,0.469463810,0.000936126,0.451407343,0.000680493,0.054323859,0.000670016,0.037758114,0.000208795,0.415139951,0.001151196,0.413649229,0.000711805,9.542509714,0.089187527,0,0
sphincsshake192fsimple,all,10000000,100,15,0.931359148,0.001044591,0.912775729,0.000849853,0.077149245,0.000805198,0.060251486,0.000364557,0.854209903,0.001318906,0.852524243,0.000924744,39.744190171,0.019600001,0,0
sphincsshake128ssimple,keygen,-,100,15,0.666863182,0.000914918,0.648596800,0.001015282,0.054423021,0.000638762,0.037686400,0.000196044,0.612440161,0.001115837,0.610910400,0.001034036,9.463749486,0.030105330,0,0
sphincsshake128ssimple,sign,256,100,15,4.738031334,0.008713295,4.717823614,0.009259426,0.202100375,0.000668552,0.183676586,0.000268463,4.535930959,0.008738906,4.534147028,0.009263317,9.725600914,0.033403637,0,0
sphincsshake128ssimple,sign,10000,100,15,4.738644603,0.008265244,4.717953786,0.008620393,0.201913655,0.000591001,0.183836114,0.000294946,4.536730948,0.008286347,4.534117672,0.008625437,9.725074286,0.029832723,0,0
sphincsshake128ssimple,sign,10000000,100,15,5.044283521,0.001332325,5.023337500,0.000879953,0.224257458,0.000845432,0.205948386,0.000311944,4.820026063,0.001577924,4.817389114,0.000933609,39.751504457,0.085491264,0,0
sphincsshake128ssimple,verify,256,100,15,0.211305279,0.000582909,0.192961557,0.000264505,0.202120904,0.000498993,0.184213686,0.000229185,0.009184375,0.000767318,0.008747871,0.000349984,9.498214400,0.025423621,0,0
sphincsshake128ssimple,verify,10000,100,15,0.211647081,0.000493664,0.193262929,0.000249074,0.202129535,0.000517970,0.184274871,0.000252840,0.009517546,0.000715540,0.008988058,0.000354917,9.488442514,0.005523731,0,0
sphincsshake128ssimple,verify,10000000,100,15,0.402228184,0.000772560,0.383240529,0.000604253,0.224649520,0.000591144,0.206617814,0.000297188,0.177578664,0.000972780,0.176622715,0.000673381,39.645593600,0.023203507,0,0
sphincsshake128ssimple,all,256,100,15,5.215921260,0.001770838,5.195952414,0.001177531,0.054362560,0.000537083,0.037824614,0.000212264,5.161558700,0.001850493,5.158127800,0.001196510,9.590315886,0.089302365,0,0
sphincsshake128ssimple,all,10000,100,15,5.204113221,0.009199482,5.184037243,0.009640082,0.054262849,0.000519359,0.037787329,0.000215232,5.149850372,0.009214131,5.146249914,0.009642484,9.663107657,0.055309237,0,0
sphincsshake128ssimple,all,10000000,100,15,5.666615555,0.008716771,5.645626357,0.009090572,0.076736635,0.000554505,0.060155757,0.000265464,5.589878920,0.008734390,5.585470600,0.009094447,39.703815314,0.049651777,0,0
sphincsshake128fsimple,keygen,-,100,15,0.080114479,0.000687746,0.062154286,0.000226550,0.054587594,0.000742093,0.037769314,0.000251560,0.025526885,0.001011779,0.024384972,0.000338537,9.472117029,0.013226153,0,0
sphincsshake128fsimple,sign,256,100,15,0.433552562,0.000639851,0.414794329,0.000303522,0.201953153,0.000570431,0.183786771,0.000270565,0.231599409,0.000857205,0.231007558,0.000406609,9.722324114,0.038859900,0,0
sphincsshake128fsimple,sign,10000,100,15,0.433418418,0.000698311,0.414581300,0.000387537,0.202332376,0.000690275,0.184044343,0.000357893,0.231086042,0.000981895,0.230536957,0.000527515,9.720159086,0.041868514,0,0
sphincsshake128fsimple,sign,10000000,100,15,0.729937576,0.000867804,0.710754914,0.000594638,0.224696813,0.000807569,0.206193957,0.000380516,0.505240763,0.001185433,0.504560957,0.000705965,39.645535086,0.037493426,0,0
sphincsshake128fsimple,verify,256,100,15,0.220417894,0.000569490,0.202076086,0.000356583,0.202716855,0.000512877,0.184719243,0.000262962,0.017701039,0.000766395,0.017356843,0.000443058,9.504650971,0.011579389,0,0
sphincsshake128fsimple,verify,10000,100,15,0.220205070,0.000487891,0.201895829,0.000289661,0.202534961,0.000470995,0.184725286,0.000241554,0.017670109,0.000678140,0.017170543,0.000377163,9.506698971,0.016204506,0,0
sphincsshake128fsimple,verify,10000000,100,15,0.411575012,0.000854288,0.392734129,0.000667436,0.225079358,0.000590241,0.207034300,0.000343352,0.186495654,0.001038360,0.185699829,0.000750574,39.658700800,0.026993366,0,0
sphincsshake128fsimple,all,256,100,15,0.323323803,0.000748066,0.305035014,0.000347535,0.054503896,0.000610304,0.037855400,0.000255354,0.268819907,0.000965440,0.267179614,0.000431261,9.555968000,0.090612492,0,0
sphincsshake128fsimple,all,10000,100,15,0.322984870,0.000719928,0.304916643,0.000530776,0.054541029,0.000542390,0.037910471,0.000284556,0.268443841,0.000901379,0.267006172,0.000602242,9.567612343,0.095352511,0,0
sphincsshake128fsimple,all,10000000,100,15,0.784564461,0.001037881,0.765979214,0.000909657,0.077109591,0.000599396,0.060316057,0.000315022,0.707454870,0.001198529,0.705663157,0.000962660,39.660631771,0.050113037,0,0
sphincssha2256ssimple,keygen,-,100,15,0.904362390,0.001069429,0.885784700,0.000585910,0.054264858,0.000553591,0.037713971,0.000252170,0.850097532,0.001204218,0.848070729,0.000637872,9.515066514,0.054457997,0,0
sphincssha2256ssimple,sign,256,100,15,10.373037337,0.006084814,10.351341657,0.005567249,0.201243780,0.000586133,0.183074057,0.000234119,10.171793557,0.006112979,10.168267600,0.005572170,9.734436571,0.011406969,0,0
sphincssha2256ssimple,sign,10000,100,15,10.384048331,0.005169009,10.362097514,0.004625998,0.201477684,0.000666658,0.183278329,0.000307452,10.182570647,0.005211822,10.178819185,0.004636204,9.740053943,0.006348779,0,0
sphincssha2256ssimple,sign,10000000,100,15,10.594868277,0.003497589,10.572936814,0.003130942,0.223472164,0.000600636,0.205397771,0.000352881,10.371396113,0.003548787,10.367539043,0.003150765,39.808087771,0.101432984,0,0
sphincssha2256ssimple,verify,256,100,15,0.228337807,0.000455969,0.209834800,0.000269027,0.202285869,0.000565247,0.184512900,0.000243303,0.026051938,0.000726231,0.025321900,0.000362728,9.771300571,0.021925748,0,0
sphincssha2256ssimple,verify,10000,100,15,0.228003378,0.000430058,0.209479886,0.000264764,0.202450024,0.000547977,0.184464900,0.000286772,0.025553354,0.000696584,0.025014986,0.000390305,9.747309714,0.054286499,0,0
sphincssha2256ssimple,verify,10000000,100,15,0.382462427,0.000665131,0.363695514,0.000616842,0.224545873,0.000524004,0.206557714,0.000293370,0.157916554,0.000846746,0.157137800,0.000683052,39.672100571,0.017061153,0,0
sphincssha2256ssimple,all,256,100,15,11.088094906,0.020384392,11.066492771,0.020336749,0.054478386,0.000615560,0.037819214,0.000214434,11.033616520,0.020393684,11.028673557,0.020337879,9.747777829,0.038080456,0,0
sphincssha2256ssimple,all,10000,100,15,11.074607762,0.003709894,11.052821171,0.003381126,0.054302711,0.000564686,0.037786329,0.000221119,11.020305051,0.003752624,11.015034842,0.003388349,9.753629257,0.026842839,0,0
sphincssha2256ssimple,all,10000000,100,15,11.432181323,0.003315939,11.410463843,0.002990689,0.076826550,0.000615308,0.060186400,0.000314091,11.355354773,0.003372544,11.350277443,0.003007137,39.817274514,0.026338146,0,0
sphincssha2256fsimple,keygen,-,100,15,0.123711181,0.000563675,0.105764514,0.000291896,0.054431243,0.000624916,0.037862171,0.000262074,0.069279938,0.000841576,0.067902343,0.000392283,9.475920457,0.002170282,0,0
sphincssha2256fsimple,sign,256,100,15,1.259934537,0.000848184,1.240869343,0.000708969,0.201288806,0.000507533,0.183154786,0.000275057,1.058645731,0.000988436,1.057714557,0.000760456,9.758895543,0.032913750,0,0
sphincssha2256fsimple,sign,10000,100,15,1.259610902,0.000788244,1.240633900,0.000658931,0.201546257,0.000582104,0.183446586,0.000308368,1.058064645,0.000979885,1.057187314,0.000727517,9.767321600,0.035409969,0,0
sphincssha2256fsimple,sign,10000000,100,15,1.485927094,0.000875072,1.466633171,0.000787042,0.223849130,0.000664287,0.205581786,0.000299667,1.262077964,0.001098648,1.261051385,0.000842161,39.883629714,0.019399513,0,0
sphincssha2256fsimple,verify,256,100,15,0.242919105,0.000590582,0.224315614,0.000329840,0.203260622,0.000413953,0.185434857,0.000223430,0.039658483,0.000721210,0.038880757,0.000398391,9.804770743,0.005061705,0,0
sphincssha2256fsimple,verify,10000,100,15,0.242625034,0.000574938,0.224080314,0.000272760,0.203451758,0.000555558,0.185444086,0.000243718,0.039173276,0.000799499,0.038636228,0.000365782,9.802547200,0.010047640,0,0
sphincssha2256fsimple,verify,10000000,100,15,0.397548771,0.000716033,0.378853614,0.000621649,0.225680756,0.000595702,0.207613886,0.000298281,0.171868015,0.000931431,0.171239728,0.000689506,39.746706286,0.065772625,0,0
sphincssha2256fsimple,all,256,100,15,1.206632574,0.002541149,1.187803771,0.002018301,0.054623687,0.000854731,0.037792829,0.000179392,1.152008887,0.002681045,1.150010942,0.002026258,9.746256457,0.012757600,0,0
sphincssha2256fsimple,all,10000,100,15,1.205361008,0.000807805,1.186805200,0.000529889,0.054309439,0.000462736,0.037841857,0.000135864,1.151051569,0.000930953,1.148963343,0.000547030,9.747426743,0.022431309,0,0
sphincssha2256fsimple,all,10000000,100,15,1.561524107,0.001338329,1.542508700,0.001026689,0.076726080,0.000590179,0.060033757,0.000233733,1.484798027,0.001462681,1.482474943,0.001052958,39.803465143,0.032342547,0,0
sphincssha2192ssimple,keygen,-,100,15,1.321534008,0.001051857,1.302997486,0.000526372,0.054130283,0.000485040,0.037725686,0.000219652,1.267403725,0.001158303,1.265271800,0.000570363,9.505587200,0.046812611,0,0
sphincssha2192ssimple,sign,256,100,15,11.626623409,0.004703972,11.604879043,0.004286241,0.202015747,0.000457009,0.184078143,0.000195379,11.424607662,0.004726120,11.420800900,0.004290692,9.731744914,0.014304042,0,0
sphincssha2192ssimple,sign,10000,100,15,11.624744479,0.003078415,11.602836343,0.002622488,0.202169452,0.000490008,0.184067957,0.000183923,11.422575027,0.003117170,11.418768386,0.002628930,9.736777143,0.007422291,0,0
sphincssha2192ssimple,sign,10000000,100,15,11.851479200,0.003044720,11.829343843,0.003012608,0.224430837,0.000566010,0.206321643,0.000289964,11.627048363,0.003096883,11.623022200,0.003026530,39.857473829,0.058792677,0,0
sphincssha2192ssimple,verify,256,100,15,0.223319027,0.000536233,0.204919886,0.000234461,0.203202126,0.000642783,0.184945443,0.000376378,0.020116901,0.000837088,0.019974443,0.000443432,9.753453714,0.024376254,0,0
sphincssha2192ssimple,verify,10000,100,15,0.223225616,0.000535095,0.205014000,0.000282337,0.203281656,0.000681722,0.184944043,0.000340052,0.019943960,0.000866644,0.020069957,0.000441984,9.733909943,0.047571472,0,0
sphincssha2192ssimple,verify,10000000,100,15,0.379207038,0.000825974,0.360483157,0.000693534,0.225431480,0.000784847,0.207150186,0.000357890,0.153775558,0.001139394,0.153332971,0.000780432,39.679882971,0.055445726,0,0
sphincssha2192ssimple,all,256,100,15,12.742661564,0.004702723,12.720948757,0.004837872,0.054392730,0.000612983,0.037905314,0.000288222,12.688268834,0.004742505,12.683043443,0.004846450,9.731861943,0.042279652,0,0
sphincssha2192ssimple,all,10000,100,15,12.742289419,0.005556992,12.720148714,0.005387412,0.054701617,0.000660324,0.037931529,0.000295962,12.687587802,0.005596087,12.682217185,0.005395535,9.731920457,0.057907026,0,0
sphincssha2192ssimple,all,10000000,100,15,13.101799262,0.005679968,13.080037243,0.005315945,0.076981921,0.000671009,0.060230771,0.000377087,13.024817341,0.005719466,13.019806472,0.005329303,39.806800457,0.029550550,0,0
sphincssha2192fsimple,keygen,-,100,15,0.091910885,0.000607246,0.073932886,0.000340424,0.054316968,0.000544761,0.037818014,0.000236130,0.037593917,0.000815789,0.036114872,0.000414302,9.475218286,0.010416982,0,0
sphincssha2192fsimple,sign,256,100,15,0.723286599,0.000810217,0.704006029,0.000448385,0.202222504,0.000569329,0.184121571,0.000302017,0.521064095,0.000990246,0.519884458,0.000540614,9.738532571,0.010950193,0,0
sphincssha2192fsimple,sign,10000,100,15,0.722705519,0.000613254,0.703974071,0.000446886,0.202350368,0.000568310,0.184308286,0.000314677,0.520355151,0.000836096,0.519665785,0.000546561,9.736016457,0.010835555,0,0
sphincssha2192fsimple,sign,10000000,100,15,0.949713319,0.000861833,0.930542543,0.000753813,0.224735277,0.000522261,0.206653000,0.000376583,0.724978042,0.001007726,0.723889543,0.000842644,39.677366857,0.078334050,0,0
sphincssha2192fsimple,verify,256,100,15,0.241948543,0.000815931,0.223294129,0.000357518,0.203747941,0.000610922,0.185641057,0.000230369,0.038200602,0.001019298,0.037653072,0.000425310,9.767497143,0.040464508,0,0
sphincssha2192fsimple,verify,10000,100,15,0.241658100,0.000517225,0.223202914,0.000258643,0.203685756,0.000597221,0.185724429,0.000293895,0.037972344,0.000790060,0.037478485,0.000391498,9.778965943,0.019471359,0,0
sphincssha2192fsimple,verify,10000000,100,15,0.397572712,0.000836016,0.378890271,0.000657909,0.225995843,0.000644491,0.207891400,0.000292731,0.171576869,0.001055600,0.170998871,0.000720094,39.688192000,0.027470166,0,0
sphincssha2192fsimple,all,256,100,15,0.636228344,0.000954846,0.617670157,0.000654791,0.054557626,0.000533639,0.037918314,0.000265671,0.581670718,0.001093847,0.579751843,0.000706635,9.755092114,0.014928698,0,0
sphincssha2192fsimple,all,10000,100,15,0.636423534,0.000915576,0.617874300,0.000534824,0.054774990,0.000658409,0.037986457,0.000281570,0.581648544,0.001127733,0.579887843,0.000604416,9.754624000,0.017952514,0,0
sphincssha2192fsimple,all,10000000,100,15,0.992646518,0.000889572,0.973881257,0.000800657,0.076826969,0.000610425,0.060173943,0.000318162,0.915819549,0.001078868,0.913707314,0.000861556,39.790650514,0.031687165,0,0
sphincssha2128ssimple,keygen,-,100,15,0.937443789,0.001304172,0.919047629,0.001201309,0.054656066,0.000794318,0.037789757,0.000221220,0.882787723,0.001527025,0.881257872,0.001221508,9.512257829,0.049155569,0,0
sphincssha2128ssimple,sign,256,100,15,6.804070658,0.003221285,6.782911086,0.002730873,0.202216171,0.000516873,0.183975271,0.000277275,6.601854487,0.003262489,6.598935815,0.002744913,9.739293257,0.002911859,0,0
sphincssha2128ssimple,sign,10000,100,15,6.805447029,0.003708586,6.784148343,0.003166343,0.202403096,0.000634295,0.184237529,0.000357149,6.603043933,0.003762438,6.599910814,0.003186422,9.735899429,0.008939176,0,0
sphincssha2128ssimple,sign,10000000,100,15,7.107500473,0.002503508,7.086023957,0.002145270,0.224591842,0.000617358,0.206431157,0.000346217,6.882908631,0.002578504,6.879592800,0.002173028,39.786671543,0.106550065,0,0
sphincssha2128ssimple,verify,256,100,15,0.220315775,0.000601857,0.201690614,0.000347359,0.202689157,0.000607757,0.184600271,0.000278176,0.017626618,0.000855336,0.017090343,0.000445017,9.747426743,0.005565080,0,0
sphincssha2128ssimple,verify,10000,100,15,0.220770249,0.000541258,0.202254729,0.000274232,0.202585240,0.000541685,0.184565557,0.000280061,0.018185009,0.000765756,0.017689172,0.000391966,9.731861943,0.033055284,0,0
sphincssha2128ssimple,verify,10000000,100,15,0.414583289,0.000855700,0.395660057,0.000556247,0.225069875,0.000607012,0.206886814,0.000315657,0.189513414,0.001049136,0.188773243,0.000639570,39.662153143,0.045841296,0,0
sphincssha2128ssimple,all,256,100,15,7.534698843,0.005707240,7.514123414,0.005473250,0.054586866,0.000534624,0.037961714,0.000269345,7.480111977,0.005732226,7.476161700,0.005479873,9.742160457,0.034288645,0,0
sphincssha2128ssimple,all,10000,100,15,7.542635244,0.003361081,7.522106071,0.003302140,0.054523575,0.000574447,0.037922729,0.000306517,7.488111669,0.003409817,7.484183342,0.003316336,9.757959314,0.022124147,0,0
sphincssha2128ssimple,all,10000000,100,15,8.007863746,0.005918504,7.986982029,0.005966301,0.077046581,0.000717412,0.060257186,0.000336165,7.930817165,0.005961826,7.926724843,0.005975764,39.811657143,0.030324962,0,0
sphincssha2128fsimple,keygen,-,100,15,0.085558232,0.000571023,0.067689157,0.000254766,0.054346628,0.000522031,0.037779114,0.000242154,0.031211604,0.000773682,0.029910043,0.000351489,9.476505600,0.002455620,0,0
sphincssha2128fsimple,sign,256,100,15,0.527937893,0.000662283,0.509035257,0.000388794,0.202288244,0.000573114,0.184032486,0.000346913,0.325649649,0.000875830,0.325002771,0.000521066,9.734963200,0.010161938,0,0
sphincssha2128fsimple,sign,10000,100,15,0.528270734,0.000591419,0.509372671,0.000393332,0.202403798,0.000544097,0.184118943,0.000279998,0.325866936,0.000803628,0.325253728,0.000482814,9.737596343,0.005829679,0,0
sphincssha2128fsimple,sign,10000000,100,15,0.831470326,0.000932897,0.811917314,0.000684470,0.224646459,0.000600587,0.206455671,0.000351333,0.606823867,0.001109505,0.605461643,0.000769373,39.677425371,0.074798386,0,0
sphincssha2128fsimple,verify,256,100,15,0.232744079,0.000534722,0.214388929,0.000286042,0.203154033,0.000585083,0.185058857,0.000324474,0.029590046,0.000792622,0.029330072,0.000432555,9.757608229,0.009792022,0,0
sphincssha2128fsimple,verify,10000,100,15,0.233002264,0.000514252,0.214470457,0.000353806,0.203204638,0.000603266,0.185097843,0.000339635,0.029797626,0.000792707,0.029372614,0.000490439,9.756554971,0.012178112,0,0
sphincssha2128fsimple,verify,10000000,100,15,0.427013486,0.000693765,0.408053114,0.000548406,0.225371366,0.000459513,0.207240114,0.000285472,0.201642120,0.000832143,0.200813000,0.000618258,39.673973029,0.041962654,0,0
sphincssha2128fsimple,all,256,100,15,0.426757443,0.000657362,0.408534757,0.000504979,0.054690625,0.000662983,0.037909657,0.000232995,0.372066818,0.000933633,0.370625100,0.000556139,9.740990171,0.011668291,0,0
sphincssha2128fsimple,all,10000,100,15,0.427701396,0.000779821,0.409380757,0.000455515,0.054526857,0.000584344,0.037952029,0.000248931,0.373174539,0.000974463,0.371428728,0.000519096,9.747485257,0.015411826,0,0
sphincssha2128fsimple,all,10000000,100,15,0.897374356,0.001019503,0.878548757,0.000992328,0.077022498,0.000654953,0.060264043,0.000298735,0.820351858,0.001211755,0.818284714,0.001036319,39.790943086,0.031104383,0,0
mldsa87,keygen,-,100,15,0.071878342,0.000838883,0.054073057,0.000228682,0.054346260,0.000544521,0.037821386,0.000301316,0.017532082,0.001000114,0.016251671,0.000378268,9.230979657,0.024346240,0,0
mldsa87,sign,256,100,15,0.218883867,0.001716761,0.200277900,0.001499478,0.202253056,0.000532176,0.184338386,0.000307025,0.016630811,0.001797354,0.015939514,0.001530588,9.496517486,0.027443535,0,0
mldsa87,sign,10000,100,15,0.218432001,0.001651668,0.199849371,0.001391188,0.202445005,0.000459169,0.184555614,0.000334374,0.015986996,0.001714306,0.015293757,0.001430807,9.498272914,0.024672205,0,0
mldsa87,sign,10000000,100,15,0.409503185,0.001831337,0.390712057,0.001731048,0.224607883,0.000641875,0.206633257,0.000263877,0.184895302,0.001940567,0.184078800,0.001751045,39.639859200,0.021677921,0,0
